rsvp_id,rsvp_time,rsvp_response,rsvp_guests,rsvp_visibility,event_id,event_name,event_time,event_url,member_id,member_name,member_photo,member_other_services,venue_id,venue_name,venue_lat,venue_lon,group_city,group_country,group_id,group_lat,group_lon,group_name,group_state,group_topics,group_urlname
1729011420,2018-05-19 14:04:58,no,0,public,250924195,Spark ML + PipelineAI + Real-Time TensorFlow + Mesosphere DC/OS +GPU +TPU +Kafka,2018-06-06 18:00:00,https://www.meetup.com/Advanced-Spark-and-TensorFlow-Meetup/events/250924195/,13688380,Suhas,https://secure.meetupstatic.com/photos/member/8/6/8/a/thumb_132274442.jpeg,[],,,,,San Francisco,us,18712511,37.77,-122.41,"PipelineAI Advanced Spark and TensorFlow Meetup (SF, Global)",CA,"['Apache Kafka', 'Apache Spark', 'Artificial Intelligence', 'Artificial Intelligence Applications', 'Artificial Intelligence Programming', 'Big Data Analytics', 'Data Science', 'Deep Learning', 'High Scalability Computing', 'Kubernetes', 'Machine Learning', 'Natural Language Processing', 'Neural Networks', 'Predictive Analytics', 'TensorFlow']",Advanced-Spark-and-TensorFlow-Meetup
1729011421,2018-05-19 14:04:58,yes,0,public,jxvgspyxjbnb,Tips on How to Attract the Right Man,2018-06-10 14:00:00,https://www.meetup.com/helpingwomenattracthealthyrelationships/events/250928930/,91905942,cindy7012,https://secure.meetupstatic.com/photos/member/e/2/8/d/thumb_273417997.jpeg,[],25316042,Pacific Coffee Roasters,49.279572,-123.115288,Vancouver,ca,21111138,49.28,-123.11,Helping Women Attract Healthy Relationships,BC,"['Confidence and Self-Esteem', 'Dating and Relationships', 'Happiness', 'Healthy Family and Healthy Environment', 'Life Coaching', 'Life Transformation', 'Personal Development', 'Personal Development/Confidence Building', 'Relationship Advice', 'Relationship Building', 'Self Help & Self Improvement', 'Self-Empowerment', 'Single Moms', 'Successful Relationships']",helpingwomenattracthealthyrelationships
1729011422,2018-05-19 14:04:59,yes,0,public,249816191,Dessert 🍫 & Beer 🍻 Pairing,2018-05-19 15:30:00,https://www.meetup.com/SFLHops/events/249816191/,218528309,Hansen Sinclair,https://secure.meetupstatic.com/photos/member/f/f/5/thumb_267424085.jpeg,{'twitter': {'identifier': '@SinclairHansen'}},24326263,Riverside Market South,26.084759,-80.137573,Miami,us,18399629,25.95,-80.18,SFL Hops:  Craft Beer in the Tri-County,FL,"['Beer', 'Beer Lovers', 'Beer and Food Pairing', 'Craft Beer', 'Drinking', 'Fun Times', 'Happy Hour', 'New In Town', 'Nightlife', 'Professional Networking', 'Pubs and Bars', 'Singles', 'Social', 'Social Networking', 'beer festivals']",SFLHops
1729011423,2018-05-19 14:04:59,yes,0,public,250946335,"Music, Dancing, and great Food at Dillons Bayou Lake Pleasant",2018-10-06 16:00:00,https://www.meetup.com/ourbucketlistandmore/events/250946335/,206145338,Michelle Newland,https://secure.meetupstatic.com/photos/member/c/d/6/0/thumb_260872576.jpeg,[],1313436,Pleasant Harbor Marina,33.570469,-112.25032,Phoenix,us,20412472,33.56,-112.06,The Bucket List,AZ,"['Adventure', 'Adventure Travel', 'Cruise Vacation', 'Dancing', 'Dining Out', 'Fun Times', 'Getaways', 'New In Town', 'Outdoors', 'Singles', 'Social Networking', 'Solo Travelers', 'Vacations', 'Weekend Adventures', 'Weekend Getaways']",ourbucketlistandmore
1729011424,2018-05-19 14:04:59,yes,0,public,250946336,Conversación informal en español -- Jueves!,2018-05-24 16:30:00,https://www.meetup.com/spanish-759/events/250946336/,6527877,Lorraine LLB,https://secure.meetupstatic.com/photos/member/b/3/1/c/thumb_23745852.jpeg,[],6176342,The Columns Hotel,29.92738,-90.096146,New Orleans,us,516342,29.97,-90.09,The New Orleans Spanish Language Meetup Group,LA,"['Expat Spanish', 'Spanish Language']",spanish-759
1729011426,2018-05-19 14:05:01,yes,0,public,250256240,Spilled Ink,2018-05-25 16:00:00,https://www.meetup.com/Northern-Virginia-Poets/events/250256240/,254858939,Tee,,[],24876261,Jirani Coffee House,38.75049,-77.47309,Centreville,us,18130422,38.85,-77.46,Northern Virginia Poetry Group,VA,"['Open Mic', 'Open Mic Poetry', 'Poetic Readings', 'Poetry', 'Poetry Readings', 'Poetry Spoken Word', 'Poetry Workshop', 'Poetry Writing', 'Poets', 'Prose and Poetry', 'Slammers: People Who Like To Perform Their Poetry', 'Spoken Word', 'Writing', 'Writing Workshops']",Northern-Virginia-Poets
1729011427,2018-05-19 14:05:01,yes,0,public,246788717,Let's meet to discuss A Man Called Ove by Fredrik Backman.,2018-06-10 08:00:00,https://www.meetup.com/if-you-give-a-reader-a-book/events/246788717/,197397912,Stephanie,https://secure.meetupstatic.com/photos/member/a/0/a/2/thumb_264281122.jpeg,[],,,,,Livonia,us,1868551,42.4,-83.38,"""If you give a reader a book...""",MI,"['Book Club', 'Literature', 'Readers', 'Reading']",if-you-give-a-reader-a-book
1729011428,2018-05-19 14:05:02,yes,0,public,249874905,Channeling God Power Meet Up Series:  Detachment From Illusions,2018-06-16 10:00:00,https://www.meetup.com/Tampa-Area-Transformational-Metaphysics-Meetup/events/249874905/,7878958,Vanessa V.,https://secure.meetupstatic.com/photos/member/1/3/2/3/thumb_4624899.jpeg,[],25766181,Northdale Executive Suites,28.095118,-82.50751,Tampa,us,19669939,27.98,-82.34,Tampa Area Transformational Metaphysics Meetup,FL,"['Awakening', 'Consciousness', 'Energy Healing', 'Law of Attraction', 'Life Transformation', 'Meditation', 'Metaphysics', 'Personal Development', 'Psychology', 'Public Speaking', 'Self-Empowerment', 'Self-Improvement', 'Spiritual Growth', 'Spiritual Growth & Life Transformation', 'Spirituality']",Tampa-Area-Transformational-Metaphysics-Meetup
1729011429,2018-05-19 14:05:02,yes,0,public,rrfnglyxhbbc,Morris County Striders Sunday Run,2018-05-20 06:00:00,https://www.meetup.com/Morris-County-Striders-Running-Meetup/events/250776575/,24746852,Jeff Jones,https://secure.meetupstatic.com/photos/member/b/4/0/thumb_258062880.jpeg,[],23756593,Parking Lot,40.909348,-74.499657,Rockaway,us,18540786,40.94,-74.48,Morris County Striders Running Meetup,NJ,"[""Beginner's Running"", 'Fitness', 'Half Marathon', 'Long Distance Running', 'Marathon', 'Outdoor  Fitness', 'Running', 'Trail Running']",Morris-County-Striders-Running-Meetup
1720520091,2018-05-19 14:05:03,no,0,public,249242904,Texas Roller Girls: Austin Roller Derby (Semi Hosted),2018-05-19 15:00:00,https://www.meetup.com/I-love-Austin-but-I-need-some-f-g-friends/events/249242904/,131816072,Ian Fink,https://secure.meetupstatic.com/photos/member/c/f/1/e/thumb_198953022.jpeg,[],12795952,Austin Sports Center,30.226681,-97.755951,Austin,us,21590254,30.22,-97.75,"I love Austin, but I need some f*****g friends!",TX,"['Adventure', 'Dining Out', 'Exploring', 'Fun Times', 'Games', 'Local Activities', 'Meet New Friends Make New Friends. Anyone similar?', 'Movie Nights', 'New In Town', 'Outdoors', 'Park', 'Social', 'Social Networking', 'Travel', 'movies in movie theatres']",I-love-Austin-but-I-need-some-f-g-friends
